user,userplays,artist,album,song,date
jkingisdrained,16,Bladee,333,Mean Girls,2023-07-09 03:55:27.148000+00:00
myinhibitions,137,Bladee,Working on Dying,Gatekeeper,2023-07-09 03:56:05.683000+00:00
goopszn,201,Bladee,Gluee,Freeze,2023-07-09 03:57:18.488000+00:00
goopszn,202,Bladee,Gluee,Freeze,2023-07-09 03:57:40.684000+00:00
jkingisdrained,17,Bladee,333,Hero of My Story 3style3,2023-07-09 03:57:44.668000+00:00
jkingisdrained,18,Bladee,333,Hero of My Story 3style3,2023-07-09 03:57:54.292000+00:00
1lilshine,9,Thaiboy Digital,Trash Island,30th Floor,2023-07-09 03:58:33.847000+00:00
myinhibitions,138,Bladee,Working on Dying,Gatekeeper,2023-07-09 03:58:39.676000+00:00
myinhibitions,139,Bladee,Working on Dying,Gatekeeper,2023-07-09 03:59:20.417000+00:00
myinhibitions,140,Bladee,Working on Dying,Gatekeeper,2023-07-09 03:59:30.540000+00:00
jkingisdrained,19,Bladee,Working on Dying,Best Buy,2023-07-09 03:59:44.093000+00:00
goopszn,203,Bladee,Gluee,Upgrade Enabled,2023-07-09 04:00:12.300000+00:00
thaigirl,19,Bladee,Exile,Sentence,2023-07-09 04:00:26.252000+00:00
1zane,30,Thaiboy Digital,Back 2 Life,The Kingdom,2023-07-09 04:01:02.601000+00:00
jkingisdrained,20,Bladee,Eversince,Who Goes There,2023-07-09 04:01:40.592000+00:00
jkingisdrained,21,Bladee,Eversince,Who Goes There,2023-07-09 04:01:50.438000+00:00
goopszn,204,Bladee,Gluee,Upgrade Enabled,2023-07-09 04:02:15.426000+00:00
8o8wk,50,Bladee,Spiderr,NOTHINGG,2023-07-09 04:02:26.008000+00:00
1zane,31,Bladee,Red Light,Steve Jobs,2023-07-09 04:03:04.206000+00:00
jkingisdrained,22,Bladee,Vanilla Sky,Vanilla Sky,2023-07-09 04:04:50.613000+00:00
sirhenry8896,22,Bladee,Apple,Apple,2023-07-09 04:05:07.922000+00:00
goopszn,205,Bladee,Gluee,Unreal,2023-07-09 04:05:10.682000+00:00
goopszn,206,Bladee,Gluee,Unreal,2023-07-09 04:05:38.401000+00:00
deathconciousnesss,14,Bladee,D&G,No Life Left,2023-07-09 04:05:56.669000+00:00
goopszn,207,Bladee,Gluee,Unreal,2023-07-09 04:05:38.401000+00:00
goopszn,208,Bladee,Gluee,Unreal,2023-07-09 04:06:58.716000+00:00
goopszn,209,Bladee,Eversince,Rip,2023-07-09 04:07:23.596000+00:00
goopszn,210,Bladee,Eversince,Rip,2023-07-09 04:07:23.632000+00:00
goopszn,211,Bladee,Eversince,Rip,2023-07-09 04:07:23.632000+00:00
japanesiest,107,Bladee,Icedancer,Frosty the Snowman,2023-07-09 04:08:23.692000+00:00
deathconciousnesss,15,Bladee,333,Reality Surf,2023-07-09 04:08:26.180000+00:00
jkingisdrained,23,Bladee,Crest,Faust,2023-07-09 04:10:35.125000+00:00
viplife,32,Bladee,The Fool,Hotel Breakfast,2023-07-09 04:10:42.866000+00:00
jkingisdrained,24,Bladee,Crest,Faust,2023-07-09 04:10:44.885000+00:00
viplife,33,Bladee,The Fool,Hotel Breakfast,2023-07-09 04:10:42.866000+00:00
viplife,34,Bladee,The Fool,Hotel Breakfast,2023-07-09 04:10:53.765000+00:00
enbycarry,19,Bladee,Eversince,Romeo,2023-07-09 04:13:51.229000+00:00
enbycarry,20,Bladee,Eversince,Romeo,2023-07-09 04:13:54.533000+00:00
nehorai4NEM,27,Bladee,Working on Dying,Under Your Spell,2023-07-09 04:14:58.963000+00:00
nehorai4NEM,28,Bladee,Icedancer,Be Nice 2 Me,2023-07-09 04:15:00.662000+00:00
vandexity,207,Bladee,Crest,5 Star Crest (4 Vattenrum),2023-07-09 04:15:37.009000+00:00
enbycarry,21,Bladee,Eversince,Romeo,2023-07-09 04:15:51.986000+00:00
jkingisdrained,25,Bladee,Icedancer,Be Nice 2 Me,2023-07-09 04:15:58.321000+00:00
