user,userplays,artist,album,song,date
cuurlyhead,426,Bladee,Icedancer,Mallwhore Freeestyle,2023-07-30 02:32:01.547000+00:00
deargatek33p3r,1,Xavier Wulf,"Greatest Hits, Pt. 1",Snowmen,2023-07-30 02:44:25.275000+00:00
tweakorcrack,1,Bladee,Icedancer,Mallwhore Freeestyle,2023-07-30 02:44:32.188000+00:00
pelopubico,23,Bladee,Icedancer,Be Nice 2 Me,2023-07-30 02:45:10.827000+00:00
invane,1729,Bladee,Spiderr,DRESDEN ER,2023-07-30 02:45:37.296000+00:00
8o8wk,565,Yung Sherman,Innocence v2,Invisible,2023-07-30 02:45:39.650000+00:00
invane,1730,Bladee,Spiderr,DRESDEN ER,2023-07-30 02:45:47.167000+00:00
veryshallowlistening,1,Bladee,EXETER,IMAGINARY,2023-07-30 02:46:24.145000+00:00
veryshallowlistening,2,Bladee,EXETER,IMAGINARY,2023-07-30 02:46:24.145000+00:00
cuurlyhead,427,Bladee,Working on Dying,Knightsbridge,2023-07-30 02:46:29.829000+00:00
veryshallowlistening,3,Bladee,Working on Dying,Redlight Moments,2023-07-30 02:46:33.841000+00:00
kotabug,10,Bladee,Crest,Chaos Follows,2023-07-30 02:46:34.529000+00:00
veryshallowlistening,4,Bladee,Working on Dying,Lordship,2023-07-30 02:46:38.103000+00:00
territoryy,54,Bladee,Red Light,1D,2023-07-30 02:46:41.122000+00:00
territoryy,55,Bladee,Red Light,1D,2023-07-30 02:46:41.122000+00:00
angcls,419,Bladee,Red Light,Obedient,2023-07-30 02:51:54.054000+00:00
perfectcondition,180,Yung Lean,Warlord,Highway Patrol,2023-07-30 02:50:47.659000+00:00
territoryy,56,Bladee,D&G,Stalker,2023-07-30 02:49:21.808000+00:00
osyxx,2,Bladee,333,Mean Girls,2023-07-30 03:12:46.227000+00:00
territoryy,57,Bladee,Icedancer,Topman,2023-07-30 03:12:02.728000+00:00
dxcaying,280,Bladee,EXETER,LOVESTORY,2023-07-30 03:13:03.044000+00:00
kayhmie,198,Bladee,Working on Dying,Under Your Spell,2023-07-30 03:11:49.478000+00:00
kayhmie,199,Bladee,Working on Dying,Under Your Spell,2023-07-30 03:13:24.956000+00:00
invane,1731,Varg²™,Evanescence (a Love Letter),Perfect Violation,2023-07-30 03:18:15.171000+00:00
invane,1732,Varg²™,Evanescence (a Love Letter),Perfect Violation,2023-07-30 03:18:25.013000+00:00
dxcaying,281,Bladee,EXETER,LOVESTORY,2023-07-30 03:18:27.085000+00:00
rekt1616,128,Bladee,Gluee,Spellbound,2023-07-30 03:18:28.454000+00:00
angcls,420,Bladee,Eversince,Romeo,2023-07-30 03:33:56.512000+00:00
beabadoobee,16,Bladee,Destroy Me,Destroy Me,2023-07-30 03:35:06.595000+00:00
gaugexx,3,Bladee,333,Finder,2023-07-30 03:35:10.354000+00:00
trashgeek,280,Bladee,rip bladee,Psycho,2023-07-30 03:35:17.033000+00:00
angcls,421,Bladee,Dragonfly,Dragonfly,2023-07-30 03:36:38.823000+00:00
rottenribs,13,Bladee,333,It Girl,2023-07-30 03:37:25.371000+00:00
trashgeek,281,Bladee,rip bladee,Psycho,2023-07-30 03:37:25.499000+00:00
trashgeek,282,Bladee,rip bladee,Psycho,2023-07-30 03:37:26.866000+00:00
peripheralvision.,35,Bladee,I Chose to Be This Way,I Chose to Be This Way,2023-07-30 03:53:51.742000+00:00
peripheralvision.,36,Bladee,I Chose to Be This Way,I Chose to Be This Way,2023-07-30 03:54:01.686000+00:00
exstensia,3,Bladee,Red Light,1D,2023-07-30 03:54:06.089000+00:00
beabadoobee,17,Bladee,Destroy Me,Destroy Me,2023-07-30 03:54:12.465000+00:00
beabadoobee,18,Bladee,Destroy Me,Destroy Me,2023-07-30 03:56:56.047000+00:00
cuurlyhead,428,Bladee,Red Velvet,Red Velvet,2023-07-30 03:57:31.399000+00:00
exstensia,4,Bladee,Red Light,1D,2023-07-30 03:58:42.728000+00:00
territoryy,58,Bladee,rip bladee,Psycho,2023-07-30 04:01:30.917000+00:00
rmlry,1,Bladee,Gluee,Shadowface,2023-07-30 04:01:32.430000+00:00
cuurlyhead,429,Bladee,Working on Dying,Gatekeeper,2023-07-30 04:02:04.687000+00:00
draingang_,226,Bladee,Gluee,Unreal,2023-07-30 04:27:27.746000+00:00
draingang_,227,Bladee,Gluee,Unreal,2023-07-30 04:27:27.746000+00:00
lawfferson,16,Bladee,Vanilla Sky,Vanilla Sky,2023-07-30 04:27:28.982000+00:00
kazeday,735,Bladee,D&G,Suffocation,2023-07-30 04:27:29.357000+00:00
